1,得到補血道具
2,玩家會跳躍
3,恢復生命值
4,看穿牆壁後面的人
5,免疫下一次傷害
6,非常耗電
7,跳到結尾通關畫面
8,敵人會叫你一聲爸爸
9,所有鎖定角色開放
10,女主好感度升滿
11,每隔一個小時才能存檔
12,主角卡在 T-Pose
13,抽一張卡
14,遊戲變成慢動作
15,多一回合
16,獲得關鍵道具
17,角色會站在原地3秒
18,不會獲得金幣
19,獲得大量金幣
20,所有角色模型卡在 T-Pose
21,角色速度變慢
22,得到附近一位正妹的IG
23,畫面全白
24,暫停對手時間
25,獲得一隻寵物貓
26,會扣一點生命值
27,玩家立即死亡
28,按下操作沒反應
29,敵人打不死
30,敵人立即死亡
31,不需要消耗金幣
32,閃光彈只會閃到自己
33,身上的道具越多血量越少
34,出牌順序倒轉
35,介面沒任何文字
36,技能冷卻無法重置
37,顯示密道
38,金幣歸零
39,男生會顯示女生的裝備
40,不會獲得經驗值
41,角色速度加快
42,遊戲變成兩倍快變不回來
43,語音會變聲
44,攻擊力上升
45,經驗值加倍
46,角色無法動彈
47,下個敵人一擊斃殺
48,會穿越地面
49,角色等提升一級
50,給親朋好友發送詐騙簡訊
51,顯示貓咪的照片
52,福利畫面出現馬賽克
53,女主好感度歸零
54,角色一碰就死
55,角色降一級
56,傳送到安全區
